,Longitude,Latitude
0,-43.86667205553015,-16.76006147415861
1,-43.87539010645652,-16.74930859380871
2,-43.87512339654145,-16.74840937360637
3,-43.87193842147726,-16.74987637297763
4,-43.87494022095063,-16.75586193818499
5,-43.86065696443786,-16.7049433427683
6,-43.80875968929971,-16.69575652232836
7,-43.85829380487134,-16.70521033864077
8,-43.85906605796695,-16.70738706626167
9,-43.81368284620616,-16.692592532775
10,-43.81117425143293,-16.69415384556957
11,-43.81390790035314,-16.72586436885037
12,-43.81575659451864,-16.72833549771226
13,-43.81367022059219,-16.72710172748583
14,-43.81222723634803,-16.73124538607409
15,-43.81054125070389,-16.73271582804109
16,-43.8124536346288,-16.731664762172
17,-43.88371729664091,-16.76341728200714
18,-43.88423712364305,-16.76155004155668
19,-43.88970173870643,-16.75616686919075
20,-43.87344809622679,-16.75026235476275
21,-43.87219758018487,-16.75086029774797
22,-43.83443520014622,-16.7293550963106
23,-43.85389942719952,-16.71941822784816
24,-43.88617029418117,-16.7866201586841
25,-43.88683570873979,-16.78873524519918
26,-43.88776958951218,-16.78840434441322
27,-43.86096858724352,-16.753097903962
28,-43.85947463344982,-16.75456331925481
29,-43.85667984578415,-16.75486978243344
30,-43.84222787423494,-16.69522714617894
31,-43.83480854925386,-16.70770002251534
32,-43.826132,-16.736374
33,-43.828282,-16.731515
34,-43.826889,-16.73684
35,-43.827495,-16.737494
36,-43.827364,-16.738939
37,-43.8274,-16.740711
38,-43.826942,-16.742028
39,-43.825064,-16.742397
40,-43.825883,-16.743387
41,-43.827675,-16.743406
42,-43.83221269862671,-16.74399969453382
43,-43.833528,-16.743322
44,-43.83272,-16.742124
45,-43.831825,-16.741098
46,-43.830719,-16.739455
47,-43.828576,-16.73872
48,-43.829419,-16.743407
49,-43.831207,-16.742495
50,-43.832025,-16.743711
51,-43.830663,-16.737864
52,-43.834514,-16.737109
53,-43.83696,-16.735848
54,-43.838482,-16.735513
55,-43.840339,-16.735488
56,-43.843003,-16.735475
57,-43.845714,-16.735454
58,-43.845395,-16.735543
59,-43.843078,-16.735548
60,-43.839701,-16.735583
61,-43.838203,-16.736533
62,-43.838138,-16.736569
63,-43.839319,-16.738193
64,-43.839281,-16.738284
65,-43.840639,-16.740234
66,-43.840619,-16.740352
67,-43.841856,-16.742067
68,-43.841763,-16.742075
69,-43.84224,-16.743823
70,-43.842146,-16.743813
71,-43.842434,-16.745794
72,-43.84217,-16.745982
73,-43.842216,-16.747682
74,-43.842141,-16.747681
75,-43.84219,-16.750538
76,-43.842066,-16.750763
77,-43.842126,-16.753285
78,-43.842051,-16.753284
79,-43.842083,-16.755861
80,-43.841998,-16.755878
81,-43.840558,-16.756611
82,-43.840531,-16.756548
83,-43.840145,-16.758308
84,-43.840097,-16.758362
85,-43.840033,-16.759681
