"LINHA ORIGEM","SENTIDO ORIGEM","LINHA DESTINO","SENTIDO DESTINO","SETOR_ORIGEM","SETOR_DESTINO","TEMPO","VALOR","SEQUECIAL"
"1501","IDA","P121","IDA","0","0","60","0","3523"
"1501","VOLTA","P121","VOLTA","0","0","60","0","3524"
"1501","IDA","P261","IDA","0","0","60","0","3525"
"1501","VOLTA","P261","VOLTA","0","0","60","0","3526"
"1501","VOLTA","P261","IDA","0","0","60","0","3527"
"1501","IDA","P261","VOLTA","0","0","60","0","4208"
"1501","IDA","P461","IDA","0","0","60","0","3528"
"1501","VOLTA","P461","VOLTA","0","0","60","0","3529"
"1501","IDA","P561","VOLTA","0","0","60","0","3530"
"1501","VOLTA","P561","IDA","0","0","60","0","3531"
"1501","IDA","1601","IDA","0","0","60","0","2"
"1501","VOLTA","1601","VOLTA","0","0","60","0","3"
"1501","IDA","1701","IDA","0","0","60","0","4"
"1501","VOLTA","1701","VOLTA","0","0","60","0","5"
"1501","IDA","1702","VOLTA","0","0","60","0","4180"
"1501","VOLTA","1702","IDA","0","0","60","0","4181"
"1501","IDA","1702","IDA","0","0","60","0","6"
"1501","VOLTA","1702","VOLTA","0","0","60","0","9"
"1501","IDA","1901","IDA","0","0","60","0","10"
"1501","VOLTA","1901","VOLTA","0","0","60","0","13"
"1501","IDA","1901","VOLTA","0","0","60","0","4178"
"1501","VOLTA","1901","IDA","0","0","60","0","4179"
"1501","IDA","2201","IDA","0","0","60","0","3409"
"1501","VOLTA","2201","IDA","0","0","60","0","3410"
"1501","IDA","2202","IDA","0","0","60","0","6092"
"1501","IDA","2202","VOLTA","0","0","60","0","6093"
"1501","VOLTA","2202","IDA","0","0","60","0","6094"
"1501","VOLTA","2202","VOLTA","0","0","60","0","6095"
"1501","IDA","2203","VOLTA","0","0","60","0","4182"
"1501","VOLTA","2203","VOLTA","0","0","60","0","4183"
"1501","IDA","2601","IDA","0","0","60","0","16"
"1501","IDA","2601","VOLTA","0","0","60","0","17"
"1501","VOLTA","2601","IDA","0","0","60","0","18"
"1501","VOLTA","2601","VOLTA","0","0","60","0","19"
"1501","IDA","2603","IDA","0","0","60","0","22"
"1501","IDA","2603","VOLTA","0","0","60","0","23"
"1501","VOLTA","2603","IDA","0","0","60","0","24"
"1501","VOLTA","2603","VOLTA","0","0","60","0","25"
"1501","IDA","2604","IDA","0","0","60","0","26"
"1501","IDA","2604","VOLTA","0","0","60","0","27"
"1501","VOLTA","2604","IDA","0","0","60","0","28"
"1501","VOLTA","2604","VOLTA","0","0","60","0","29"
"1501","IDA","3301","VOLTA","0","0","60","0","4188"
"1501","VOLTA","3301","VOLTA","0","0","60","0","4189"
"1501","IDA","3302","VOLTA","0","0","60","0","4190"
"1501","VOLTA","3302","VOLTA","0","0","60","0","4191"
"1501","IDA","3601","IDA","0","0","60","0","3501"
"1501","IDA","3601","VOLTA","0","0","60","0","3502"
"1501","VOLTA","3601","IDA","0","0","60","0","3503"
"1501","VOLTA","3601","VOLTA","0","0","60","0","3504"
"1501","IDA","4401","VOLTA","0","0","60","0","6413"
"1501","VOLTA","4401","VOLTA","0","0","60","0","6414"
"1501","IDA","4401A","VOLTA","0","0","60","0","6415"
"1501","VOLTA","4401A","VOLTA","0","0","60","0","6416"
"1501","IDA","4601","IDA","0","0","60","0","36"
"1501","IDA","4601","VOLTA","0","0","60","0","37"
"1501","VOLTA","4601","VOLTA","0","0","60","0","38"
"1501","VOLTA","4601","IDA","0","0","60","0","39"
"1501","IDA","4603","VOLTA","0","0","60","0","42"
"1501","VOLTA","4603","VOLTA","0","0","60","0","43"
"1501","IDA","4701","VOLTA","0","0","60","0","44"
"1501","VOLTA","5101","IDA","0","0","60","0","4192"
"1501","IDA","5101","VOLTA","0","0","60","0","45"
"1501","IDA","5501","VOLTA","0","0","60","0","3507"
"1501","VOLTA","5501","IDA","0","0","60","0","3508"
"1501","IDA","5601","VOLTA","0","0","60","0","4193"
"1501","IDA","5702","IDA","0","0","60","0","4194"
"1501","IDA","5702","VOLTA","0","0","60","0","53"
"1501","IDA","5801","IDA","0","0","60","0","3955"
"1501","IDA","5801","VOLTA","0","0","60","0","55"
"1501","VOLTA","5801","IDA","0","0","60","0","56"
"1501","IDA","5802","IDA","0","0","60","0","3956"
"1501","VOLTA","5802","VOLTA","0","0","60","0","3957"
"1501","IDA","5802","VOLTA","0","0","60","0","75"
"1501","VOLTA","5802","IDA","0","0","60","0","76"
"1501","IDA","5803","VOLTA","0","0","60","0","5566"
"1501","VOLTA","5803","VOLTA","0","0","60","0","5567"
"1501","IDA","5901","VOLTA","0","0","60","0","5207"
"1501","VOLTA","5901","VOLTA","0","0","60","0","5208"
"1501","IDA","6201R","IDA","0","0","60","0","140"
"1501","IDA","6201R","VOLTA","0","0","60","0","142"
"1501","VOLTA","6201R","IDA","0","0","60","0","509"
"1501","VOLTA","6201R","VOLTA","0","0","60","0","510"
"1501","IDA","6202","IDA","0","0","60","0","512"
"1501","IDA","6202","VOLTA","0","0","60","0","513"
"1501","VOLTA","6202","IDA","0","0","60","0","514"
"1501","VOLTA","6202","VOLTA","0","0","60","0","517"
"1501","IDA","6203","IDA","0","0","60","0","3510"
"1501","IDA","6203","VOLTA","0","0","60","0","3511"
"1501","VOLTA","6203","IDA","0","0","60","0","3512"
"1501","VOLTA","6203","VOLTA","0","0","60","0","3513"
"1501","IDA","6404","IDA","0","0","60","0","4195"
"1501","VOLTA","6404","VOLTA","0","0","60","0","4196"
"1501","IDA","6404","VOLTA","0","0","60","0","521"
"1501","VOLTA","6404","IDA","0","0","60","0","522"
"1501","IDA","6404A","VOLTA","0","0","60","0","3514"
"1501","VOLTA","6404A","IDA","0","0","60","0","3515"
"1501","IDA","6404A","IDA","0","0","60","0","4197"
"1501","VOLTA","6404A","VOLTA","0","0","60","0","4198"
"1501","VOLTA","6604","VOLTA","0","0","60","0","4199"
"1501","IDA","6604","VOLTA","0","0","60","0","525"
"1501","VOLTA","6901","IDA","0","0","60","0","530"
"1501","IDA","6901","IDA","0","0","60","0","531"
"1501","IDA","6901","VOLTA","0","0","60","0","532"
"1501","VOLTA","6901","VOLTA","0","0","60","0","533"
"1501","IDA","7101","VOLTA","0","0","60","0","4200"
"1501","VOLTA","7101","IDA","0","0","60","0","4201"
"1501","VOLTA","7101","VOLTA","0","0","60","0","4202"
"1501","IDA","7103","IDA","0","0","60","0","4203"
"1501","IDA","7103","VOLTA","0","0","60","0","4204"
"1501","VOLTA","7103","IDA","0","0","60","0","4205"
"1501","VOLTA","7103","VOLTA","0","0","60","0","4206"
"1501","VOLTA","8201","VOLTA","0","0","60","0","5889"
"1501","VOLTA","8201","IDA","0","0","60","0","5890"
"1501","IDA","8201","VOLTA","0","0","60","0","5891"
"1501","IDA","8201","IDA","0","0","60","0","5892"
"1501","VOLTA","8401","VOLTA","0","0","60","0","5740"
"1501","IDA","8401","VOLTA","0","0","60","0","5741"
"1501","IDA","8801","VOLTA","0","0","60","0","3517"
"1501","VOLTA","8801","VOLTA","0","0","60","0","3518"
"1501","IDA","8802","VOLTA","0","0","60","0","3519"
"1501","VOLTA","8802","VOLTA","0","0","60","0","4207"
"1601","IDA","1501","IDA","0","0","60","0","559"
"1601","VOLTA","1501","VOLTA","0","0","60","0","561"
"1601","IDA","1701","IDA","0","0","60","0","4431"
"1601","VOLTA","1701","VOLTA","0","0","60","0","565"
"1601","IDA","1702","IDA","0","0","60","0","4432"
"1601","IDA","1901","IDA","0","0","60","0","4433"
"1601","IDA","1901","VOLTA","0","0","60","0","4434"
"1601","VOLTA","1901","IDA","0","0","60","0","4435"
"1601","VOLTA","1901","VOLTA","0","0","60","0","4436"
"1601","IDA","2201","IDA","0","0","60","0","4437"
"1601","VOLTA","2201","IDA","0","0","60","0","4438"
"1601","VOLTA","2201","IDA","0","0","60","0","4488"
"1601","IDA","2202","VOLTA","0","0","60","0","6096"
"1601","IDA","2202","IDA","0","0","60","0","6097"
"1601","VOLTA","2202","IDA","0","0","60","0","6098"
"1601","VOLTA","2202","VOLTA","0","0","60","0","6099"
"1601","IDA","2203","VOLTA","0","0","60","0","4439"
"1601","VOLTA","2203","VOLTA","0","0","60","0","4440"
"1601","IDA","2601","VOLTA","0","0","60","0","4442"
"1601","IDA","2601","IDA","0","0","60","0","585"
"1601","VOLTA","2601","IDA","0","0","60","0","591"
"1601","VOLTA","2601","VOLTA","0","0","60","0","593"
"1601","IDA","2603","IDA","0","0","60","0","4443"
"1601","IDA","2603","VOLTA","0","0","60","0","4444"
"1601","VOLTA","2603","IDA","0","0","60","0","4445"
"1601","VOLTA","2603","VOLTA","0","0","60","0","608"
"1601","IDA","2604","VOLTA","0","0","60","0","4446"
"1601","IDA","2604","IDA","0","0","60","0","609"
"1601","VOLTA","2604","IDA","0","0","60","0","611"
"1601","VOLTA","2604","VOLTA","0","0","60","0","612"
"1601","IDA","3301","VOLTA","0","0","60","0","4447"
"1601","VOLTA","3301","VOLTA","0","0","60","0","4448"
"1601","IDA","3302","VOLTA","0","0","60","0","4449"
"1601","VOLTA","3302","VOLTA","0","0","60","0","4450"
"1601","IDA","3601","IDA","0","0","60","0","4451"
"1601","VOLTA","3601","IDA","0","0","60","0","4453"
"1601","VOLTA","3601","VOLTA","0","0","60","0","4455"
"1601","IDA","4401","VOLTA","0","0","60","0","6417"
"1601","VOLTA","4401","VOLTA","0","0","60","0","6418"
"1601","IDA","4401A","VOLTA","0","0","60","0","6419"
"1601","VOLTA","4401A","VOLTA","0","0","60","0","6420"
"1601","IDA","4601","IDA","0","0","60","0","4457"
"1601","IDA","4601","VOLTA","0","0","60","0","4458"
"1601","IDA","4603","VOLTA","0","0","60","0","4459"
"1601","VOLTA","4603","VOLTA","0","0","60","0","4460"
"1601","IDA","4701","VOLTA","0","0","60","0","4461"
"1601","VOLTA","4701","VOLTA","0","0","60","0","665"
"1601","VOLTA","5101","VOLTA","0","0","60","0","4462"
"1601","IDA","5101","VOLTA","0","0","60","0","667"
"1601","VOLTA","5101","IDA","0","0","60","0","670"
"1601","IDA","5501","IDA","0","0","60","0","4463"
"1601","VOLTA","5501","VOLTA","0","0","60","0","4464"
"1601","IDA","5601","VOLTA","0","0","60","0","5661"
"1601","IDA","5702","IDA","0","0","60","0","4465"
"1601","IDA","5702","VOLTA","0","0","60","0","4466"
"1601","VOLTA","5702","VOLTA","0","0","60","0","822"
"1601","IDA","5801","IDA","0","0","60","0","4467"
"1601","IDA","5801","VOLTA","0","0","60","0","828"
"1601","VOLTA","5801","IDA","0","0","60","0","830"
"1601","VOLTA","5801","VOLTA","0","0","60","0","832"
"1601","IDA","5802","VOLTA","0","0","60","0","4423"
"1601","IDA","5802","IDA","0","0","60","0","4468"
"1601","VOLTA","5802","IDA","0","0","60","0","4469"
"1601","VOLTA","5802","VOLTA","0","0","60","0","841"
"1601","IDA","5803","IDA","0","0","60","0","5569"
"1601","IDA","5803","VOLTA","0","0","60","0","5570"
"1601","VOLTA","5803","IDA","0","0","60","0","5572"
"1601","VOLTA","5803","VOLTA","0","0","60","0","5576"
"1601","IDA","5901","IDA","0","0","60","0","5209"
"1601","IDA","5901","VOLTA","0","0","60","0","5210"
"1601","VOLTA","5901","IDA","0","0","60","0","5211"
"1601","VOLTA","5901","VOLTA","0","0","60","0","5212"
"1601","IDA","5902","IDA","0","0","60","0","861"
"1601","IDA","5902","VOLTA","0","0","60","0","863"
"1601","VOLTA","5902","IDA","0","0","60","0","878"
"1601","VOLTA","5902","VOLTA","0","0","60","0","881"
"1601","IDA","6201R","VOLTA","0","0","60","0","4470"
"1601","IDA","6202","IDA","0","0","60","0","886"
"1601","IDA","6202","VOLTA","0","0","60","0","889"
"1601","VOLTA","6202","IDA","0","0","60","0","891"
"1601","VOLTA","6202","VOLTA","0","0","60","0","893"
"1601","VOLTA","6203","IDA","0","0","60","0","4471"
"1601","IDA","6404","VOLTA","0","0","60","0","4472"
"1601","VOLTA","6404","VOLTA","0","0","60","0","4473"
"1601","IDA","6404A","VOLTA","0","0","60","0","4474"
